Criticality,CSL1,CSL2,CSL3,CSL4,Function,Category,Sub-Category,Required Data,Workload,Table,Schema,Schema Value,Workload  Integration,Event Reference,Microsoft Sentinel Event,Microsoft XDR Event
EL0,01,BC,02,,Identity,Identity & Credential Management,Manage Credential Type,Credential Management,Windows,Event,Source,Entra Connect Admin Actions,https://github.com/Cyberlorians/M-21-31/blob/main/EL0/Identity/M2131-ICAM-Deployments.md,https://learn.microsoft.com/en-us/entra/identity/hybrid/connect/admin-audit-logging,"let EventMapping = datatable(EventID: int, EventName: string)
[
    2503, ""Add/Update/Delete Directories"",
    2504, ""Enable Express settings mode"",
    2505, ""Enable/Disable domains and OU for sync"",
    2506, ""Enable/Disable PHS Sync"",
    2507, ""Enable/Disable Sync start after install"",
    2508, ""Create ADDS account"",
    2509, ""Use Existing ADDS account"",
    2510, ""Create/Update/Delete custom sync rule"",
    2511, ""Enable/Disable Domain based filtering"",
    2512, ""Enable/Disable OU based filtering"",
    2513, ""User Sign-In method changed"",
    2514, ""Configure new ADFS farm"",
    2515, ""Enable/Disable Single sign-on"",
    2516, ""Install web application proxy server"",
    2517, ""Set Permissions"",
    2518, ""Change ADDS Connector credential"",
    2519, ""Reinitialize Entra ID Connector account password"",
    2520, ""Install ADFS Server"",
    2521, ""Set ADFS Service Account""
];
Event
| where TimeGenerated > ago(90d)
| where Source == ""Entra Connect Admin Actions""
| extend ['Action'] = tostring(parse_json(RenderedDescription).ActionType)
| join kind=inner (EventMapping) on $left.EventID == $right.EventID
| distinct TimeGenerated, Source, Computer, ['Action'], EventID, EventName, RenderedDescription
| sort by TimeGenerated desc  
| take 1000",NA
EL0,01,BD,01,,Identity,Identity & Credential Management,Manage Credential Type,Credential Management,Entra,AuditLogs,OperationName,*Conditional access policy,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/conditional-access/troubleshoot-policy-changes-audit-log,"AuditLogs //reviewing CRUD for Conditional Access policies. NonHumanActor represents a SP doing the CRUD of the CA.
| where TimeGenerated > ago(90d)
| where OperationName in (""Add conditional access policy"", ""Update conditional access policy"", ""Delete conditional access policy"")
| project
    TimeGenerated,
    Operation=OperationName,
    Policy=TargetResources[0].displayName,
    HumanActor=InitiatedBy.user.userPrincipalName,
    NonHumanActor=Identity,
    TargetResources
| sort by TimeGenerated desc
| take 1000",NA
EL0,01,BE,01,,Identity,Identity & Credential Management,Manage Credential Type,Credential Management,Entra,MicrosoftGraphActivityLogs,RequestUri,Users,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,"https://learn.microsoft.com/en-us/graph/api/user-post-users?view=graph-rest-1.0&tabs=http

","MicrosoftGraphActivityLogs  //View SP POST (Success/Failures) methods on update user
| where TimeGenerated > ago(90d)
| where RequestMethod == 'POST'
| where RequestUri has '/users'
| join (
    AuditLogs
    | extend Id = tostring(parse_json(tostring(InitiatedBy.user)).id)
) on $left.UserId == $right.Id
| where Result == ""success""
| where OperationName == ""Update user""
| project ActivityDateTime, RequestUri, ['Service'] = Identity, ['InitiatedByApp'] = tostring(parse_json(tostring(InitiatedBy.app)).displayName), ['InitiatedByUser'] = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName), OperationName, Result, ['Target-Resource'] = tostring(TargetResources)
| sort by ActivityDateTime desc
| take 1000",NA
EL0,01,BF,08,,Identity,Identity & Credential Management,Manage Credential Type, (PIV or CAC) & Derived Credentials,Microsoft Intune,IntuneAuditLogs,OperationName,Device Configuration,https://learn.microsoft.com/en-us/mem/intune/fundamentals/review-logs-using-azure-monitor#send-logs-to-azure-monitor,"
https://learn.microsoft.com/en-us/mem/intune/protect/derived-credentials","IntuneAuditLogs
| where TimeGenerated > ago(90d)
| where OperationName has 'DeviceConfiguration'
| where parse_json(tostring(Properties)) has ""DerivedCredentialSettingsRef""
| take 1000",NA
EL0,01,BG,01,,Identity,Identity & Credential Management,Manage Credential Type, (PIV or CAC) & Derived Credentials,Entra,AuditLogs,OperationName,TrustedCAsfForPasswordlessAuth,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/authentication/how-to-certificate-based-authentication,"AuditLogs //Setting Trusted Certificate Authorities in Entra CAs
| where TimeGenerated > ago(90d)
| where OperationName == ""Set Company Information""
| mv-expand TargetResources
| extend ['Tenant Name'] = TargetResources.displayName
| extend ['Tenant Id'] = TargetResources.id
| extend ['Initiated By'] = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName)
| extend modifiedProperties = TargetResources.modifiedProperties
| extend displayName = tostring(modifiedProperties[0].displayName),   
         oldValue = tostring(modifiedProperties[0].oldValue),       
         newValue = tostring(modifiedProperties[0].newValue)  
| where displayName == ""TrustedCAsForPasswordlessAuth""      
| project TimeGenerated,['Initiated By'], ['Tenant Name'], ['Tenant Id'], ['Configuration'] = displayName, oldValue, newValue
| take 1000",NA
EL0,01,BH,01,,Identity,Identity & Credential Management,Manage Credential Type, (PIV or CAC) & Derived Credentials,Entra,AuditLogs,Category,PublicKeyInfrastructure,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/authentication/how-to-certificate-based-authentication#step-1-configure-the-certificate-authorities-with-pki-based-trust-store-preview,"AuditLogs
| where TimeGenerated > ago(90d)
| where Category == ""PublicKeyInfrastructure""
| extend ['Initiated By'] = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName)
| distinct TimeGenerated, Category, ActivityDisplayName, AADOperationType, ['Initiated By'], Result, tostring(TargetResources)
| sort by TimeGenerated desc
| take 1000",NA
EL0,01,BI,01,,Identity,Identity & Credential Management,Manage Credential Type,Cert,Entra,AuditLogs,OperationName ,Update User,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-audit-logs,"AuditLogs //Update of Certuserid w/ x509. Could be native in Entra, Sync, PowerShell, Graph.
| where TimeGenerated > ago(90d)
| where OperationName == ""Update user""
| where parse_json(tostring(TargetResources[0])) has ""CertificateUserIds"" or parse_json(tostring(TargetResources[0])) has ""X509""
| distinct TimeGenerated, ['Initiated By'] = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName), ['Target User'] = tostring(TargetResources[0].userPrincipalName), ['Modified CertUserID'] = tostring(parse_json(tostring(parse_json(TargetResources)[0].modifiedProperties)))
| sort by TimeGenerated desc
| take 1000",NA
EL0,01,BJ,07,,Identity,Identity & Credential Management,Manage Credential Type,Cert,Microsoft Defender for Identity,IdentityDirectoryEvents,ActionType,ADCS Certificate issuance,https://learn.microsoft.com/en-us/azure/sentinel/connect-microsoft-365-defender?tabs=MDI,https://techcommunity.microsoft.com/blog/microsoftthreatprotectionblog/securing-ad-cs-microsoft-defender-for-identitys-sensor-unveiled/3980265,"IdentityDirectoryEvents //Review Issuing Certificate Issuance to UPN/DisplayName w/ Issuing-CA/SKI
| where TimeGenerated > ago(90d)
| where ActionType == ""ADCS Certificate issuance""
| distinct TimeGenerated, ['Issued-UPN'] = AccountUpn, ['Issued-DisplayName'] = AccountDisplayName, ['Issuing-CA'] = DestinationDeviceName, ['Issued SubjectKeyIdentifier'] = tostring(AdditionalFields.SubjectKeyIdentifier)
| sort by TimeGenerated desc
| take 1000","IdentityDirectoryEvents //Review Issuing Certificate Issuance to UPN/DisplayName w/ Issuing-CA/SKI
| where Timestamp > ago(30d)
| where ActionType == ""ADCS Certificate issuance""
| distinct Timestamp, ['Issued-UPN'] = AccountUpn, ['Issued-DisplayName'] = AccountDisplayName, ['Issuing-CA'] = DestinationDeviceName, ['Issued SubjectKeyIdentifier'] = tostring(AdditionalFields.SubjectKeyIdentifier)
| sort by Timestamp desc
| take 1000"
EL0,01,BK,01,,Identity,Identity & Credential Management,Manage Credential Type,MFA,Entra,AuditLogs,OperationName,Security Info,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-audit-logs,"AuditLogs //will show both user and administrator registered security information
| where TimeGenerated > ago(90d)
| where OperationName has ""security info""
| where Result == ""success""
| extend IPAddress = tostring(parse_json(tostring(InitiatedBy.user)).ipAddress)
| extend UserPrincipalName = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName)
| extend UserId = tostring(TargetResources[0].id)
| distinct UserPrincipalName, UserId, IPAddress, OperationName, ResultDescription, TimeGenerated
| sort by TimeGenerated desc
| take 1000",NA
EL0,01,BL,01,,Identity,Identity & Credential Management,Manage Credential Type,Password,Entra,AuditLogs,OperationName,Change User Password,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-audit-logs,"AuditLogs //change user password. Most orgs will witness by Sync but split to see by user.
| where TimeGenerated > ago(90d)
| where OperationName == ""Change user password""  
| extend Actor= InitiatedBy.user.userPrincipalName  
//| distinct TimeGenerated, ['Initiated By'] = tostring(parse_json(tostring(InitiatedBy.user)).userPrincipalName), ['Target User'] = tostring(TargetResources[0].userPrincipalName), ['Modified Value'] = tostring(parse_json(tostring(parse_json(TargetResources)[0].modifiedProperties)))
| extend InitiatedBySync = iif(tostring(InitiatedBy.user.userPrincipalName) !has ""Sync"", """", tostring(InitiatedBy.user.userPrincipalName))
| extend InitiatedByUser = iif(tostring(InitiatedBy.user.userPrincipalName) has ""Sync"", """", tostring(InitiatedBy.user.userPrincipalName))
| distinct TimeGenerated,       
            ['Service'] = Identity,      
            ['InitiatedByApp'] = tostring(parse_json(tostring(InitiatedBy.app)).displayName), 
            ['InitiatedBySync'], 
            ['InitiatedByUser'], 
            Result,
            ['Target-Resource'] = tostring(TargetResources)
| sort by TimeGenerated desc
| take 1000",NA
EL0,01,BM,02,,Identity,Identity & Credential Management,Manage Credential Type,Password,Windows,Event,Source,Microsoft-AzureADPasswordProtection-DCAgent,https://github.com/Cyberlorians/M-21-31/blob/main/EL0/Identity/M2131-ICAM-Deployments.md,https://learn.microsoft.com/en-us/entra/identity/authentication/howto-password-ban-bad-on-premises-monitor,"Event
| where Source == ""Microsoft-AzureADPasswordProtection-DCAgent""
| summarize PasswordChangesValidated = countif(EventID == 10014), PasswordSetsValidated = countif(EventID == 10015), PasswordChangesRejected = countif(EventID == 10016), PasswordSetsRejected = countif(EventID == 10017), PasswordChangeAuditOnlyFailures = countif(EventID == 10024), PasswordSetAuditOnlyFailures = countif(EventID == 10025), PasswordChangeErrors = countif(EventID == 10012), PasswordSetErrors = countif(EventID == 10013) by bin(TimeGenerated, 90d), Computer
|  sort by TimeGenerated desc
| take 1000",NA
EL0,01,BN,01,,Identity,Identity & Credential Management,Manage Credential Type,Password,Entra,AuditLogs,OperationName,Update company settings,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/authentication/howto-password-ban-bad-on-premises-operations,"AuditLogs
| where TimeGenerated > ago(90d)
| where OperationName == ""Update company settings""
| extend BannedPasswordCheckOnPremisesMode = tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(TargetResources[0].modifiedProperties))[0].newValue))[0].Settings))[0].Properties))[0].Value)
| extend EnableBannedPasswordCheckOnPremises = tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(TargetResources[0].modifiedProperties))[0].newValue))[0].Settings))[0].Properties))[1].Value)
| extend EnableBannedPasswordCheck = tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(TargetResources[0].modifiedProperties))[0].newValue))[0].Settings))[0].Properties))[2].Value)
| extend LockoutDurationInSeconds = tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(TargetResources[0].modifiedProperties))[0].newValue))[0].Settings))[0].Properties))[3].Value)
| extend LockoutThreshold = tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(TargetResources[0].modifiedProperties))[0].newValue))[0].Settings))[0].Properties))[4].Value)
| extend BannedPasswordList = tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(parse_json(tostring(TargetResources[0].modifiedProperties))[0].newValue))[0].Settings))[0].Properties))[5].Value)
| distinct TimeGenerated, BannedPasswordCheckOnPremisesMode, EnableBannedPasswordCheckOnPremises, EnableBannedPasswordCheck, LockoutDurationInSeconds, LockoutThreshold, BannedPasswordList
| sort by TimeGenerated desc
| take 1000",NA
EL0,01,BO,02,,Identity,Identity & Credential Management,Manage Credential Type,Password,Windows,SecurityEvent,Activity,"4723(S, F): An attempt was made to change an account's password",https://github.com/Cyberlorians/M-21-31/blob/main/EL0/Identity/M2131-ICAM-Deployments.md,https://learn.microsoft.com/en-us/previous-versions/windows/it-pro/windows-10/security/threat-protection/auditing/event-4723,"SecurityEvent
| where TimeGenerated > ago(90d)
| where EventID == 4723
| where Activity == ""4723 - An attempt was made to change an account\'s password.""
| distinct TimeGenerated, Activity,  ['Initiated By'] = SubjectUserName, TargetUserName
| sort by TimeGenerated desc
| take 1000",NA
EL0,01,BP,02,,Identity,Identity & Credential Management,Manage Credential Type,Password,Windows,SecurityEvent,Activity,"4724(S, F): An attempt was made to reset an account's password",https://github.com/Cyberlorians/M-21-31/blob/main/EL0/Identity/M2131-ICAM-Deployments.md,https://learn.microsoft.com/en-us/previous-versions/windows/it-pro/windows-10/security/threat-protection/auditing/event-4724,"SecurityEvent
| where TimeGenerated > ago(90d)
| where EventID == 4724
| where Activity == ""4724 - An attempt was made to reset an account\'s password.""
| distinct TimeGenerated, Activity, ['Initiated By'] = SubjectUserName, TargetUserName
| sort by TimeGenerated desc
| take 1000",NA
